app_name,audited_clauses,governance_clauses,unique_rules_covered,compliant_count,partial_count,clause_quality_pct,strict_coverage_pct,applicable_scope_pct,combined_statutory_pct,effective_compliance_pct,dominant_rule_warning
WhatsApp,260,32,19,10,22,65.6,50.0,54.3,29.4,60.0,
Telegram,124,16,10,9,7,78.1,26.3,28.6,21.0,53.3,
Snapchat,109,16,9,4,12,62.5,23.7,25.7,11.9,44.1,[WARN] DPDP_RUL-0227 (38% of positives)
Youtube,54,26,5,9,17,67.3,13.2,14.3,7.8,40.8,[WARN] DPDP_RUL-0227 (81% of positives)
Google,98,12,9,0,12,50.0,23.7,25.7,11.0,37.9,
Meta,126,4,3,1,3,62.5,7.9,8.6,6.9,35.5,[WARN] IT_ACT_2-0290 (50% of positives)
